type	id	parent	name	durationYears
C	Cca9962f225ab9a559e01a53d	F5aa4336032f13a622fe2aaba	Licenciado en Letras	5
C	Cca9d5e167a418976773f1e8b	F0ad6b1c5c496957db6c76a66	Licenciado en Letras	5
C	Cca9e441f7e42c16d7d6389af	Fd5190cffe082bf62f348cfdf	Técnico Universitario en Seguridad Pública	2
C	Ccaa482c7425dce86fca4f415	F55d7b79bf35d3208ea5c4f38	Técnico Universitario en Medicina Nuclear	3
C	Ccaa4ae62784e656994c8d424	F7b3220ff71fe8f76fd6cc6aa	Técnico Universitario en Óptica y Contactología	3
C	Ccab61820f42afe691ae22e70	F103d8c11dcec733f06086257	Técnico Universitario en Gestión de las Migraciones Internacionales - MD	3
C	Ccab89c942e11e2396e8c25cf	F5f1678e4e8546b49b409c3a5	Técnico Universitario en Contabilidad	4
C	Ccab9cb621f40150f9d9bbb70	Fd47920821e29badc12e647bb	Martillero y Corredor Público - MD	3
C	Ccabd44eb66d288c08e0c45ce	F17031982285bcf485e8b3bb6	Licenciado/a en Sistemas de Información de las Organizaciones	5
C	Ccac1ace3ff300488903448b5	Fc3c0bfc59b8ad588c5a2b875	Licenciado en Enfermería	5
C	Ccac2198f7373fd9b3b12856f	Fddb550750f3921e9d5ff4b09	Licenciado en Curaduría e Historia de las Artes	4
C	Ccac6d40661f2dd72322766a5	F64c13c989eadf41ea04a6f61	Licenciado en Enfermería	4
C	Ccac801afb47dfb1900df16be	F7a81142c9f2b4d2a61ab6475	Licenciado en Ciencias Físicas	5
C	Ccacdf0c9ae12cbb8dfa8d015	Fb5d408df84b88fc6582ae576	Técnico Instrumentista Musical en Violín	3
C	Ccad58ed752f0b677cb3ca0b1	F94269fc03b930491d5c381a1	Enfermero Universitario - Título Intermedio	3
C	Ccadb3c220526cec796e3b733	F1392c16b807d6730b79a2b71	Diseñador Textil	5
C	Ccae2531fbd0223d5978a0cf7	Fe1e824e4bc9ea79cabcfdbd8	Técnico Universitario en Higiene y Seguridad del Trabajo - MD	3
C	Ccaea165334b7c62d5503644e	F789fd4aeeafbd0a3b38f4b3f	Diseñador Gráfico	5
